Type_of_Leader Decision Required_time Position Velocity
R N 3.68 2.05 2.77 
R N 2.00 8.30 14.31 
R N 3.80 3.49 9.69 
R N 4.00 5.55 3.23 
R N 4.80 4.55 3.79 
R N 3.60 5.36 2.79 
R N 4.24 14.85 6.88 
R N 3.84 1.28 2.46 
R N 2.16 13.14 7.14 
R N 3.40 5.19 1.35 
R N 2.68 7.57 5.92 
R n 2.44 7.57 31.55 
R N 2.64 10.27 8.28 
R N 2.52 7.70 6.21 
R N 4.12 12.55 11.62 
R N 3.08 0.89 1.11 
R N 10.44 4.02 9.14 
R N 3.96 2.71 8.47 
